unit_id,unit_percentage_owner,unit_percentage_bv
UN0161,85.0,15.0
UN0183,85.0,15.0
UN1324,85.0,15.0
UN0890,0.0,0.0
UN0000,0.0,0.0
UN0994,0.0,0.0
UN1021,85.0,15.0
UN1177,85.0,15.0
UN0198,85.0,15.0
UN0280,85.0,15.0
UN0281,85.0,15.0
UN0282,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0382,85.0,15.0
UN0000,0.0,0.0
UN0000,0.0,0.0
UN0581,0.0,0.0
UN0692,0.0,0.0
UN0774,85.0,15.0
UN0911,85.0,15.0
UN0912,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0830,0.0,0.0
UN1254,85.0,15.0
UN0383,85.0,15.0
UN0000,85.0,15.0
UN1324,85.0,15.0
UN0409,85.0,15.0
UN0671,80.0,20.0
UN1326,85.0,15.0
UN1327,85.0,15.0
UN1328,85.0,15.0
UN0270,0.0,0.0
UN0766,85.0,15.0
UN0767,85.0,15.0
UN1329,85.0,15.0
UN1325,85.0,15.0
UN1328,85.0,15.0
UN0271,0.0,0.0
UN0070,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1218,85.0,15.0
UN1219,85.0,15.0
UN1254,85.0,15.0
UN1182,85.0,15.0
UN0844,0.0,0.0
UN1267,85.0,15.0
UN1323,85.0,15.0
UN0069,85.0,15.0
UN0074,85.0,15.0
