,property_id,extra
12651,Pondok Lulik,2
12652,The Alchemist,Le Petit Prince
12653,Maha Ungasan,5 (Garden View)
12654,Villa Idaman,1
12655,The Alchemist,Blanche Niege
12656,The Alchemist,Blanche Niege
12657,Villa Idaman,1
12658,Tirtha Canggu Suites,
12659,Batu Jaran Hill,7
12660,Taman Bintang,Wooden Dbl (Topeng)
12661,Batu Jaran Hill,8
12662,Rama Village,LAKSAMANA 1
12663,Villa Idaman,1
12664,Padang,Padang View-3
12665,Puri Kelapa,
12666,Padang,Padang View-3
12667,Lebak,2
12668,Villa Cerita Indah,
12669,Batu Jaran Hill,3
12670,Puri Kelapa,
12671,Bingin Surf Left,
12672,Puri Kelapa,
12673,Lebak,7
12674,Puri Kelapa A2 (Double),
12675,Pondok Lulik,3
12676,Batu Jaran Hill,2
12677,Lebak,6
12678,Lebak,2
12679,Vivo Villas B Unit,
12680,NDBV Lot 6,
12681,Villa Toya,
12682,Puri Kelapa,
12683,Kakol Homestay,3
12684,Lebak,7
12685,The Alchemist,Romeo
12686,The Alchemist,Romeo
12687,Villa Kama,2
12688,Bingin Surf Left,2 bedrooms
12689,Puri Kelapa,
12690,Puri Kelapa,
12691,NDBV Lot 6,
12692,LJBB Bungalow,
12693,Puri Kelapa,
12694,Puri Kelapa,
12695,LJBB Nina,
12696,LaJoya1 Deluxe Room,
12697,Khumba,2BR Villa 11 (using one bedroom)
12698,Kembang Kuning,
12699,LJBB Bungalow,
12700,The Alchemist,Family Cabin
12701,D'Padang,4
12702,Villa Bening,
12703,Puri Kelapa,
12704,Lebak,6
12705,Dinar Hills C,Standard
12706,Padang,Padang View-4
12707,NDBV Lot 6,
12708,Batu Jaran Hill,6
12709,Taman Bintang,Concrete Twn (Oleg)
12710,Kembang Kuning,
12711,Kakol Homestay,2
12712,Kakol Homestay,1
12713,Kubu N2,1
12714,Puri Kelapa B1 (Twin),
12715,Kakol Homestay,3
12716,Kakol Homestay,4
12717,Villa Bulan,
12718,Puri Kelapa B2( Double),
12719,Bingin Surf Left,
12720,Bingin Surf Left,
12721,Batu Jaran Hill,2
12722,Sunset Condotel Kuta,
12723,Batu Jaran Hill,2
12724,Puri Kelapa B1 (Twin),
12725,Wira Homestay,8
12726,Wira Homestay,7
12727,Puri Kelapa Family,
12728,Wira Homestay,4
12729,Puri Kelapa E (double),
12730,Villa Indigo,
12731,Batu Jaran Hill,6
12732,LJBB Bungalow,
12733,Khumba,2BR Villa 11 (using one bedroom)
12734,Villa Asmara,
12735,NDBV Lot 3,
12736,Puri Kelapa,
12737,Villa Istana Willy,
12738,The Alchemist,Family Cabin
12739,Uluwatu Cottages,Suite
12740,Puri Kelapa,
12741,Villa Loluan,1
12742,Villa Istana Willy,
12743,LJBB Shaka,
12744,LJ1 Std Family Room,
12745,Puri Kelapa,
12746,La Cabane Paz Family,
12747,Puri Kelapa A1 (Twin),
12748,Puri Kelapa,
12749,Puri Kelapa A1 (Twin),
12750,Full Moon,5
12751,Puri Kelapa B1 (Twin),
12752,Kakol Homestay,7
12753,Puri Kelapa A1 (Twin),
12754,Padang,Padang View-3
12755,Puri Kelapa B1 (Twin),
12756,Puri Kelapa A1 (Twin),
12757,Bingin Surf Left,
12758,NDBV Lot 3,
12759,LaJoya1 Deluxe Bungalow,
12760,LJBB Shaka,
12761,Uluwatu Cottages,Suite
12762,Kakol Homestay,3
12763,Pondok Lulik,5
12764,Kakol Homestay,4
12765,Batu Jaran Hill,2
12766,Pondok Lulik,4
12767,Puri Kelapa,
12768,Padang,Padang View-3
12769,Tirtha Canggu Suites,
12770,Kubu N2,2
12771,LJBB Nina,
12772,LJBB Bungalow,
12773,Rama Village,LAKSAMANA 2
12774,Villa Arindra,
12775,The Alchemist,Romeo
12776,LJBB Shaka,
12777,LJBB Shaka,
12778,Uluwatu Cottages,Suite
12779,LJBB Bungalow,
12780,LJBB Bungalow,
12781,The Alchemist,Mykonos
12782,Batu Jaran Hill,4
12783,Batu Jaran Hill,8
12784,LJBB Bungalow,
12785,Uluwatu Cottages,Twin
12786,Bingin Surf Left,
12787,La Cabane Paz Family,
12788,Puri Kelapa,
12789,LJBB Shaka,
12790,D'Padang,2
12791,Sunset Condotel Kuta,
12792,LJBB Shaka,
12793,LJBB Shaka,
12794,Padang,Padang View-2
12795,Maha Ungasan,10 (Garden View)
12796,Maha Ungasan,6 (Garden View)
12797,Villa Kama,2
12798,Kakol Homestay,8
12799,Kakol Homestay,7
12800,Kakol Homestay,6
12801,Kakol Homestay,5
12802,Kakol Homestay,4
12803,Kakol Homestay,3
12804,Kakol Homestay,2
12805,LJBB Bungalow,
12806,Wira Homestay,6
12807,Wira Homestay,7
12808,Kakol Homestay,8
12809,Wira Homestay,8
12810,Kubu N2,2
12811,Puri Kelapa,
12812,Pondok Lulik,3
12813,Puri Kelapa C1 (Double),
12814,Padang,Padang View-1
12815,Padang,Padang View-1
12816,Puri Kelapa C1 (Double),
12817,Pondok Lulik,3
12818,Villa Bingin Luna,
12819,Villa Bingin Luna,
12820,Kubu N2,1
12821,Maha Ungasan,3 (Garden View)
12822,Kubu N2,2
12823,Kubu N2,1
12824,LJBB Shaka,
12825,LaJoya1 Deluxe Bungalow,
12826,Bingin Jepun,
12827,LJBB Nina,
12828,Puri Kelapa,
12829,Puri Kelapa,
12830,Puri Kelapa,
12831,Puri Kelapa,
12832,Wira Homestay,5
12833,LJBB Bungalow,
12834,Puri Kelapa,
12835,Villa Arindra,
12836,Villa Kama,1
12837,The Alchemist,Family Cabin
12838,Villa Bening,
12839,LJBB Bungalow,
12840,LJBB Bungalow,
12841,The Alchemist,Romeo
12842,Villa Arindra,
12843,Bingin Surf Left,
12844,Lebak,1
12845,Puri Kelapa,
12846,Kakol Homestay,1
12847,The Alchemist,Family Cabin
12848,Kembang Kuning,
12849,Lemon Guesthouse,4
12850,The Alchemist,Romeo
12851,Bingin Surf Left,2 bedrooms
12852,Batu Jaran Hill,6
12853,Pondok Lulik,3
12854,Kakol Homestay,4
12855,LJBB Shaka,
12856,Kubu N2,1
12857,Kubu N2,1
12858,LJBB Bungalow,
12859,LJBB Shaka,
12860,Kakol Homestay,2
12861,Kakol Homestay,3
12862,Kakol Homestay,4
12863,Kakol Homestay,5
12864,Kakol Homestay,6
12865,Kakol Homestay,7
12866,Kakol Homestay,8
12867,Kakol Homestay,1
12868,Villa Loluan,1
12869,Maha Ungasan,5 (Garden View)
12870,Khumba,1BR Villa 1
12871,Villa Papaya,
12872,The Alchemist,Blanche Niege
12873,The Alchemist,Mykonos
12874,Dinar Hills B,Standard
12875,Puri Kelapa,
12876,LJBB Bungalow,
12877,Wira Homestay,2
12878,Lebak,5
12879,The Alchemist,Mykonos
12880,Wira Homestay,3
12881,Wira Homestay,1
12882,Puri Kelapa,
12883,The Alchemist,Family Cabin
12884,Villa Kama,3
12885,Uluwatu Cottages,Twin
12886,Pondok Lulik,2
12887,D'Padang,9
12888,Wira Homestay,6
12889,LJBB Bungalow,
12890,LaJoya1 Standard Room,
12891,LJBB Shaka,
12892,Puri Kelapa B1 (Twin),
12893,Wira Homestay,8
12894,Wira Homestay,9
12895,Pondok Lulik,4
12896,Puri Kelapa,
12897,Wira Homestay,7
12898,Puri Kelapa,
12899,Lebak,8
12900,La Cabane CEU,
12901,Villa Sunia,
12902,Pondok Lulik,5
12903,Bingin Surf Left,
12904,Puri Kelapa  C2 (double),
12905,Puri Kelapa,
12906,NDBV Lot 6,
12907,LJBB Nina,
12908,NDBV Lot 3,
12909,Villa Kura Kura,
12910,Maha Ungasan,3 (Garden View)
12911,NDBV Lot 3,
12912,Asri Guest House,1
12913,Padang,Padang View-3
12914,Rama Village,SATRUGNA 2
12915,Uluwatu Cottages,Double + Extra Bed
12916,Villa Ayunan,
12917,Vivo Villas B Unit,
12918,Maha Ungasan,4 (Garden View)
12919,Batu Jaran Hill,7
12920,Batu Jaran Hill,8
12921,Puri Kelapa,
12922,Maha Ungasan,9 (Garden View)
12923,Come Back,3
12924,Maha Ungasan,8 (Garden View)
12925,Like at Home,
12926,Buana,206 (Twin)
12927,Vivo Villas B Unit,
12928,The Hideaway,
12929,Pondok Lulik,2
12930,Puri Kelapa,
12931,Puri Kelapa E (double),
12932,Pondok Lulik,1
12933,LJBB Bungalow,
12934,Villa Indigo,
12935,Puri Kelapa B2( Double),
12936,D'Padang,2
12937,Come Back,4
12938,Tirtha Canggu Suites,
12939,Kakol Homestay,2
12940,Bingin Surf Left,
12941,Kembang Kuning,
12942,Padang,Padang View-3
12943,Villa Istana Willy,
12944,Kembang Kuning,
12945,Maha Ungasan,3 (Garden View)
12946,D'Padang,9
12947,Villa Istana Willy,
12948,LJBB Bungalow,
12949,The Alchemist,Romeo
12950,Villa Kura Kura,
12951,NDBV Lot 3,
12952,D'Padang,1
12953,Khumba,1BR Villa 4
12954,Rama Village,LAKSAMANA 2
12955,Villa Loluan,1
12956,The Alchemist,Mykonos
12957,Kubu N2,2
12958,Gili Eco,2BR Villa 1
12959,Puri Kelapa,
12960,Bingin Surf Left,
12961,The Alchemist,Romeo
12962,The Alchemist,Romeo
12963,Puri Kelapa,
12964,Villa Khaleesi,
12965,LJBB Nina,
12966,Puri Kelapa,
12967,LJBB Bungalow,
12968,Maha Ungasan,9 (Garden View)
12969,Maha Ungasan,8 (Garden View)
12970,Villa Kama,2
12971,Villa Malindo,
12972,Tirtha Canggu Suites,
12973,Padang,Padang View-1
12974,Lebak,4
12975,Padang,Padang View-3
12976,Puri Kelapa,
12977,Villa Kama,2
12978,Villa Kama,3
12979,Puri Kelapa E (double),
12980,LJBB Nina,
12981,Jepun Sari,90 (Twin)
12982,Full Moon,1
12983,Puri Kelapa B1 (Twin),
12984,Pondok Lulik,10
12985,Villa Istana Willy,
12986,Jepun Sari,94 (Double)
12987,Batu Jaran Hill,2
12988,The Alchemist,Le Petit Prince
12989,Kembang Kuning,
12990,Villa Istana Willy,
12991,Batu Jaran Hill,2
12992,Bingin Jepun,
12993,Buana,207
12994,Kutuh Manak,1
12995,D'Padang,1
12996,Bingin Jepun,
12997,Kembang Kuning,
12998,Uluwatu Cottages,Double + Extra Bed
12999,Puri Pandawa,Deluxe 1
13000,Villa Be Home,
13001,Puri Kelapa,
13002,Villa Kama,1
13003,Puri Kelapa,
13004,Lebak,8
13005,Villa Idaman,1
13006,Puri Pandawa,Deluxe 1
13007,Pondok Lulik,1
13008,La Cabane Std,
13009,LJBB Bungalow,
13010,Villa Loluan,1
13011,Dinar Hills C,Standard
13012,Puri Kelapa E (double),
13013,Maha Ungasan,4 (Garden View)
13014,Maha Ungasan,7 (Garden View)
13015,Khumba,1BR Villa 1
13016,Batu Jaran Hill,9
13017,Villa Loluan,2
13018,LJBB Bungalow,
13019,Lebak,5
13020,Puri Kelapa,
13021,Puri Kelapa,
13022,LJBB Bungalow,
13023,LJBB Bungalow,
13024,NDBV Lot 6,
13025,Uluwatu Cottages,Double
13026,Batu Jaran Hill,3
13027,Bingin Jepun,
13028,Padang,Padang View-1
13029,Taman Bintang,Wooden Twn (Jauk)
13030,Buana,204
13031,Villa Bagus,
13032,Puri Kelapa B1 (Twin),
13033,Puri Kelapa B1 (Twin),
13034,Puri Kelapa,
13035,Batu Jaran Hill,1
13036,Puri Kelapa,
13037,LJBB Nina,
13038,Puri Kelapa A1 (Twin),
13039,Bingin Surf Left,
13040,D'Padang,1
13041,LJBB Shaka,
13042,LJBB Shaka,
13043,Rama Village,LAKSAMANA 2
13044,Puri Kelapa,
13045,The Alchemist,Romeo
13046,The Alchemist,Le Petit Prince
13047,Villa Cerita Indah,
13048,Uluwatu Cottages,Double
13049,Villa Purnama,
13050,Villa Kama,2
13051,Bingin Surf Left,
13052,Lebak,4
13053,NDBV Lot 6,
13054,Villa Malindo,
13055,Villa Kama,1
13056,Villa Kama,3
13057,Bingin Surf Left,
13058,Villa Kama,4
13059,Puri Kelapa,
13060,Puri Kelapa Family,
13061,Villa Purnama,
13062,Kubu N2,1
13063,Villa Bingin Luna,
13064,Tirtha Canggu Suites,
13065,Pondok Lulik,3
13066,Villa Kama,2
13067,Puri Kelapa,
13068,Lebak,1
13069,Bingin Jepun,
13070,Bingin Surf Left,2 bedrooms
13071,Pondok Lulik,7
13072,Wira Homestay,1
13073,Bingin Surf Left,
13074,The Alchemist,Le Petit Prince
13075,Padang,Padang View-2
13076,LJBB Bungalow,
13077,NDBV Lot 3,
13078,LJBB Bungalow,
13079,Rama Village,LAKSAMANA 1
13080,LJBB Bungalow,
13081,Batu Jaran Hill,Std
13082,Batu Jaran Hill,Std
13083,Villa Arindra,2 bedrooms
13084,Kubu N2,2
13085,LJBB Bungalow,
13086,Villa Anak,
13087,Villa Toya,
13088,Tirtha Canggu Suites,
13089,Batu Jaran Hill,Std
13090,Uluwatu Cottages,Twin
13091,Villa Bagus,
13092,Lebak,1
13093,Puri Kelapa,
13094,Batu Jaran Hill,Std
13095,Puri Kelapa,
13096,Jepun Sari,92 (Double)
13097,Tirtha Canggu Suites,
13098,LJBB Bungalow,
13099,Villa Idaman,1
13100,Puri Kelapa,
13101,Khumba,1BR Villa 1
13102,NDBV Lot 3,
13103,The Alchemist,Le Petit Prince
13104,LJBB Bungalow,
13105,D'Padang,1
13106,LJBB Nina,
13107,Puri Kelapa A2 (Double),
13108,Rama Village,SATRUGNA 2
13109,Uluwatu Cottages,Suite
13110,Puri Kelapa,
13111,NDBV Lot 3,
13112,Maha Ungasan,9 (Garden View)
13113,Puri Kelapa,
13114,Batu Jaran Hill,10
13115,Kembang Kuning,
13116,Villa Kama,2
13117,Bingin Surf Left,
13118,LJBB Bungalow,
13119,Rama Village,SATRUGNA 1
13120,Pondok Lulik,1
13121,Padang,Padang View-1
13122,Come Back,1
13123,D'Padang,3
13124,D'Padang,4
13125,Bingin Surf Left,
13126,Villa Purnama,
13127,Puri Kelapa A2 (Double),
13128,The Alchemist,Mykonos
13129,The Alchemist,Family Cabin
13130,Puri Kelapa,
13131,Puri Kelapa,
13132,Lebak,5
13133,Puri Kelapa,
13134,Kampung Jimba,Mentawai
13135,Puri Kelapa,
13136,Padang,Padang View-3
13137,Puri Kelapa B1 ( Twin ),
13138,Puri Kelapa B2 ( Double ),
13139,Puri Kelapa A1 (Twin),
13140,LJBB Nina,
13141,Padang,Padang View-1
13142,Villa Loluan,1
13143,Villa Bingin Luna,
13144,LJBB Bungalow,
13145,La Cabane Std,
13146,NDBV Lot 3,
13147,D'Padang,3
13148,Batu Jaran Hill,2
13149,LJBB Nina,
13150,Puri Kelapa,
13151,Villa Loluan,1
13152,Sunset Condotel Kuta,
13153,Villa Arindra,
13154,Puri Kelapa,
13155,Redsalt,Lumbung
13156,LJBB Nina,
13157,LJBB Nina,
13158,Villa Loluan,2
13159,The Alchemist,Romeo+The Alchemist-Mykonos
13160,Villa Kama,4
13161,Sunset Condotel Kuta,
13162,Buana,207
13163,Maha Ungasan,5 (Garden View)
13164,Puri Kelapa,
13165,Rama Village,LAKSAMANA 1
13166,Batu Jaran Hill,3
13167,Puri Kelapa,
13168,Buana,207
13169,Pondok Lulik,2
13170,NDBV Lot 6,
13171,Puri Kelapa,
13172,Villa Arindra,2 bedrooms
13173,La Cabane CEU,
13174,Puri Pandawa,Suite 1
13175,Batu Jaran Hill,4
13176,Bingin Surf Left,
13177,Puri Kelapa,
13178,Kembang Kuning,
13179,Maha Ungasan,5 (Garden View)
13180,Padang,Padang View-3
13181,Khumba,2BR Villa 11 (using one bedroom)
13182,Khumba,2BR Villa 11 (using one bedroom)
13183,Puri Kelapa,
13184,Puri Kelapa,
13185,Puri Kelapa,
13186,Puri Kelapa,
13187,Dinar Hills B,Standard
13188,Villa Kama,2
13189,Maha Ungasan,5 (Garden View)
13190,Maha Ungasan,4 (Garden View)
13191,Sunset Condotel Kuta,
13192,La Cabane Dlx,
13193,Kembang Kuning,
13194,Padang,Padang View-1
13195,Villa Bening,
13196,Maha Ungasan,3 (Garden View)
13197,La Cabane Std,
13198,Villa Kura Kura,
13199,Bingin Jepun,
13200,Kembang Kuning,
13201,Lebak,9
13202,Bingin Jepun,
13203,Bingin Surf Left,
13204,Bingin Jepun,
13205,Bingin Surf Left,
13206,Taman Bintang,Concrete Twn (Oleg)
13207,Puri Kelapa,
13208,D'Padang,1
13209,Villa Arindra,
13210,Puri Kelapa,
13211,Lebak,6
13212,Batu Jaran Hill,4
13213,Batu Jaran Hill,8
13214,Bingin Surf Left,
13215,Villa Arindra,
13216,Villa Loluan,2
13217,Kubu N2,1
13218,LJBB Shaka,
13219,Khumba,2BR Villa 5 (using one bedroom)
13220,Kubu N2,2
13221,LJBB Shaka,
13222,Bingin Jepun,
13223,Maha Ungasan,6 (Garden View)
13224,Batu Jaran Hill,6
13225,Puri Kelapa,
13226,LJBB Nina,
13227,Batu Jaran Hill,6
13228,Puri Kelapa,
13229,Kubu N2,1
13230,Padang,Padang View-3
13231,Rama Village,SATRUGNA 2
13232,Lebak,8
13233,Rama Village,SHITA 1
13234,Kutuh Manak,9
13235,Puri Kelapa,
13236,Villa Toya,
13237,Villa Diana,
13238,Puri Kelapa,
13239,Batu Jaran Hill,3
13240,Gili Eco,2BR Villa 1
13241,The Hideaway,
13242,Come Back,3
13243,Puri Kelapa A2 (Double),
13244,Puri Kelapa B2( Double),
13245,Puri Kelapa,
13246,Padang,Padang View-1
13247,Puri Kelapa,
13248,NDBV Lot 6,
13249,Pondok Lulik,5
13250,Lebak,2
13251,Full Moon,6
13252,Pondok Lulik,4
13253,Villa Kura Kura,
13254,Puri Kelapa,
13255,Puri Kelapa,
13256,Kembang Kuning,
13257,Villa Ayunan,
13258,Villa Papaya,
13259,The Alchemist,Romeo
13260,Villa Idaman,1
13261,Villa Ayunan,
13262,LJBB Bungalow,
13263,LJBB Shaka,
13264,Sunset Condotel Kuta,
13265,Rama Village,BARATA 1
13266,Kutuh Manak,3
13267,Uluwatu Cottages,Double
13268,Batu Jaran Hill,7
13269,NDBV Lot 6,
13270,Uluwatu Cottages,Twin
13271,Come Back,2
13272,Lebak,3
13273,The Alchemist,Mykonos
13274,The Alchemist,Romeo
13275,NDBV Lot 3,
13276,Puri Kelapa,
13277,Bingin Surf Left,
13278,Villa Kama,1
13279,D'Padang,3
13280,Batu Jaran Hill,8
13281,Puri Kelapa,
13282,Vivo Villas B Unit,
13283,Wira Homestay,6
13284,Wira Homestay,8
13285,Uluwatu Cottages,Twin
13286,Batu Jaran Hill,3
13287,Wira Homestay,2
13288,Villa Cerita Indah,
13289,Khumba,1BR Villa 1
13290,Uluwatu Cottages,Double
13291,Villa Zen,
13292,LJBB Shaka,
13293,Puri Kelapa,
13294,The Alchemist,Mykonos
13295,Villa Toya,
13296,LJBB Bungalow,
13297,The Alchemist,One Love
13298,Kutuh Manak,8
13299,Kutuh Manak,9
13300,D'Padang,8
13301,Dinar Hills C,Standard
13302,NDBV Lot 6,
13303,D'Padang,6
13304,D'Padang,8
13305,D'Padang,7
13306,Villa Kura Kura,
13307,The Hideaway,
13308,LJBB Bungalow,
13309,The Alchemist,Mykonos
13310,The Alchemist,Romeo
13311,LJBB Bungalow,
13312,D'Padang,7
13313,Batu Jaran Hill,3
13314,Batu Jaran Hill,3
13315,Villa Kama,2
13316,Kembang Kuning,
13317,Puri Kelapa A2 (Double),
13318,Villa Toya,
13319,Puri Kelapa,
13320,Padang,Padang View-1
13321,Pondok Lulik,4
13322,Puri Kelapa,
13323,Redsalt,
13324,Puri Kelapa A2 (Double),
13325,Balangan Cottages,
13326,Villa Arindra,
13327,Puri Kelapa,
13328,Villa Singa,6br
13329,LJBB Nina,
13330,The Alchemist,Romeo
13331,LJBB Bungalow,
13332,Rama Village,SATRUGNA 2
13333,LJBB Nina,
13334,LJBB Bungalow,
13335,LJBB Bungalow,
13336,LJBB Bungalow,
13337,Tirtha Canggu Suites,
13338,Villa Loluan,1
13339,Batu Jaran Hill,2 bedrooms
13340,Kembang Kuning,
13341,Kembang Kuning,
13342,Villa Arindra,
13343,Villa Arindra,
13344,NDBV Lot 3,
13345,The Alchemist,One Love
13346,Rama Village,SHITA 1
13347,NDBV Lot 3,
13348,La Cabane Std,
13349,Villa Purnama,
13350,D'Padang,10
13351,Pondok Lulik,2
13352,Bingin Surf Left,
13353,Bingin Surf Left,
13354,D'Padang,6
13355,Puri Kelapa,
13356,Puri Kelapa,
13357,Tirtha Canggu Suites,
13358,D'Padang,7
13359,Tirtha Canggu Suites,
13360,Puri Kelapa,
13361,Puri Kelapa,
13362,D'Padang,3
13363,Villa Cahaya,
13364,D'Padang,3
13365,Puri Kelapa,
13366,Puri Kelapa,
13367,Pondok Lulik,5
13368,Tirtha Canggu Suites,
13369,NDBV Lot 6,
13370,The Alchemist,Le Petit Prince
13371,Villa Anak,
13372,Buana,Bale Dauh
13373,Rama Village,SATRUGNA 2
13374,Padang,Padang View-4
13375,Villa Malindo,
13376,Puri Kelapa,
13377,Bingin Jepun,
13378,Bingin Jepun,
13379,Bingin Surf Left,
13380,Padang,Padang View-2
13381,Villa Cerita Indah,
13382,Villa Indigo,
13383,Lebak,1
13384,Batu Jaran Hill,8
13385,Puri Kelapa,
13386,Rama Village,LAKSAMANA 1
13387,D'Padang,2
13388,Rama Village,SHITA 1 (with jacuzzy)
13389,Bingin Surf Left,
13390,Lemon Guesthouse,1
13391,Wira Homestay,5
13392,Come Back,7
13393,Full Moon,8
13394,D'Padang,Wood Bungalow 1
13395,Pondok Lulik,7
13396,Pondok Lulik,8
13397,Pondok Lulik,1
13398,Batu Jaran Hill,1
13399,D'Padang,6
13400,Rama Village,BARATA 2
13401,Rama Village,BARATA 1
13402,Villa Bingin Luna,
13403,Villa Bingin Luna,
13404,Kubu N2,1
13405,LJBB Bungalow,
13406,Dinar Hills B,Standard
13407,Puri Pandawa,Deluxe 1
13408,NDBV Lot 3,
13409,Bingin Surf Left,
13410,The Alchemist,Mykonos
13411,Buana,103
13412,Buana,205
13413,La Cabane Std,
13414,LJBB Nina,
13415,LJBB Nina,
13416,D'Padang,10
13417,NDBV Lot 3,
13418,Batu Jaran Hill,3
13419,Rama Village,SATRUGNA 2
13420,Uluwatu Cottages,Twin + Extra Bed
13421,Villa Kama,4
13422,D'Padang,9
13423,Bingin Surf Left,
13424,Villa Asmara,2br
13425,Villa Indigo,
13426,Puri Kelapa,
13427,Villa Kama,2
13428,Puri Pandawa,Deluxe 1
13429,Villa Toya,
13430,Taman Bintang,Concrete Twn (Condong)
13431,Puri Kelapa,
13432,Jepun Sari,93 (Double)
13433,Dinar Hills B,Standard
13434,La Cabane Std,
13435,Puri Kelapa A1 (Twin),
13436,Villa Toya,
13437,Padang,Padang View-2
13438,Maha Ungasan,9 (Garden View)
13439,Tirtha Canggu Suites,
13440,Villa Bingin Luna,
13441,LJBB Shaka,
13442,LJBB Shaka,
13443,The Alchemist,Romeo
13444,Puri Kelapa,
13445,Villa Anak,
13446,LJBB Bungalow,
13447,Puri Kelapa,
13448,Puri Kelapa,
13449,LJBB Bungalow,
13450,LJBB Nina,
13451,LJBB Bungalow,
13452,LJBB Bungalow,
13453,Come Back,6
13454,Come Back,8
13455,Puri Kelapa,
13456,LJBB Bungalow,
13457,LJBB Bungalow,
13458,LJBB Nina,
13459,D'Padang,2
13460,Puri Kelapa A2 (Double),
13461,Villa Bagus,
13462,Villa Loluan,1
13463,LJBB Shaka,
13464,Padang,Padang View-2
13465,Padang,Padang View-3
13466,Puri Kelapa,
13467,Come Back,9
13468,Buana,101
13469,Full Moon,4
13470,D'Padang,1
13471,Batu Jaran Hill,8
13472,Villa Bingin Luna,
13473,D'Padang,3
13474,Villa Asmara,
13475,LJBB Nina,
13476,LJBB Bungalow,
13477,Villa Bingin Luna,
13478,The Alchemist,Le Petit Prince
13479,Balangan Cottages,
13480,Come Back,7
13481,Maha Ungasan,6 (Garden View)
13482,Dinar Hills B,Standard
13483,La Cabane Std,
13484,La Cabane Std,
13485,Kubu N2,1
13486,Villa Anak,
13487,D'Padang,1
13488,Kutuh Manak,8
13489,Padang,Padang View-3
13490,Villa Loluan,1
13491,Dinar Hills D,Suite
13492,Come Back,4
13493,LJBB Bungalow,
13494,La Cabane Std,
13495,Batu Jaran Hill,Std
13496,D'Padang,4
13497,The Alchemist,Romeo
13498,Villa Istana Willy,
13499,Uluwatu Cottages,Double
13500,Villa Papaya,
13501,Villa Istana Willy,
13502,Padang,Padang View-1
13503,Villa Papaya,
13504,Pondok Lulik,9
13505,Pondok Lulik,8
13506,Bingin Surf Left,2 bedrooms
13507,Batu Jaran Hill,8
13508,Padang,Padang View-2
13509,Maha Ungasan,3 (Garden View)
13510,Batu Jaran Hill,2
13511,Bingin Jepun,
13512,LJBB Bungalow,
13513,LJBB Shaka,
13514,Padang,Padang View-1
13515,Villa Toya,
13516,Padang,Padang View-2
13517,Villa Kura Kura,
13518,Villa Purnama,
13519,Pondok Lulik,5
13520,Khumba,1BR Villa 1
13521,Buana,Bale Dauh
13522,Lebak,8
13523,Lebak,7
13524,Lebak,3
13525,Uluwatu Cottages,Twin
13526,Buana,Bale Dauh
13527,Jepun Sari,88 (Twin)
13528,Come Back,1
13529,Puri Kelapa,
13530,Buana,205
13531,Bingin Surf Left,
13532,Lebak,7
13533,Batu Jaran Hill,3
13534,LJBB Nina,
13535,LJBB Shaka,
13536,Villa Bingin Luna,
13537,The Alchemist,Romeo
13538,Villa Purnama,
13539,Villa Bingin Luna,
13540,Villa Shanti,3BR
13541,Come Back,2
13542,La Cabane Ceu,
13543,Kutuh Manak,9
13544,The Alchemist,Romeo
13545,The Alchemist,Blanche Niege
13546,The Alchemist,Blanche Niege
13547,Kutuh Manak,6
13548,Villa Malindo,
13549,Padang,Padang View-4
13550,Villa Bagus,
13551,D'Padang,10
13552,Come Back,2
13553,Puri Kelapa,
13554,Puri Kelapa  C2 (double),
13555,Dinar Hills B,Standard
13556,Puri Kelapa,
13557,LJBB Bungalow,
13558,Jepun Sari,94 (Double)
13559,Rama Village,LAKSAMANA 2
13560,Rama Village,LAKSAMANA 1
13561,Villa Kama,4
13562,Villa Cahaya,
13563,Khumba,1BR Villa 1
13564,LJBB Bungalow,
13565,Villa Loluan,2
13566,NDBV Lot 3,
13567,Villa Arindra,
13568,D'Padang,3
13569,D'Padang,2
13570,Lebak,1
13571,Dinar Hills A,Suite
13572,LJBB Nina,
13573,Villa Idaman,1
13574,Lebak,1
13575,Puri Kelapa,
13576,Come Back,1
13577,Puri Kelapa B2( Double),
13578,D'Padang,3
13579,Bingin Surf Left,
13580,Lebak,2
13581,Villa Bagus,
13582,LJBB Bungalow,
13583,Padang,Padang View-3
13584,Bingin Surf Left,
13585,Gili Eco,1BR at 2BR Villa 4
13586,Bingin Surf Left,
13587,Padang,Padang View-4
13588,Tirtha Canggu Suites,
13589,Pondok Lulik,9
13590,Pondok Lulik,8
13591,NDBV Lot 6,
13592,Villa Kama,2
13593,Sunset Condotel Kuta,
13594,Villa Kura Kura,
13595,Villa Anak,
13596,Puri Kelapa,
13597,Sunset Condotel Kuta,
13598,Villa Anak,
13599,Gili Eco,2BR Villa 2
13600,Gili Eco,2BR Villa 2
13601,La Cabane Std,
13602,Batu Jaran Hill,2
13603,Villa Purnama,
13604,Buana,102
13605,LJBB Bungalow,
13606,Lebak,1
13607,Padang,Padang View-1
13608,LaJoya1 Standard Bungalow,
13609,LaJoya1 Standard Bungalow,
13610,Kutuh Manak,6
13611,D'Padang,8
13612,Uluwatu Cottages,Suite
13613,Uluwatu Cottages,Suite
13614,Padang,Padang View-3
13615,Padang,Padang View-3
13616,La Cabane Dlx,
13617,Villa Idaman,1
13618,Villa Idaman,2
13619,LJBB Bungalow,
13620,Villa Kama,1
13621,Come Back,9
13622,LaJoya1 Standard Bungalow,
